24.29168,5.241433
8.05514,0.03607318
19.94847,5.13682
1.446534,3.033754
11.11775,5.93043
27.44447,16.08142
27.31822,13.40479
26.20716,4.574079
24.88328,6.799794
4.011337,7.391394
19.72481,9.40067
21.60423,10.36382
16.97604,9.645967
16.63695,7.340891
22.89565,9.678433
22.02989,2.413296
27.4553,18.70033
26.9178,12.95027
27.89178,17.03736
21.28317,12.84566
16.17161,12.15305
22.00825,4.004123
18.75444,7.871167
5.89075,10.13296
15.53672,8.376192
2.434939,3.628962
27.25328,17.38366
27.20278,14.36073
11.46045,2.727132
26.521,16.25457
27.21721,10.1041
11.70575,11.92218
23.18062,11.44602
16.62252,4.321567
0.08296831,7.993816
26.14584,13.63205
28,16.57562
26.66529,8.094821
12.56789,10.2051
22.62149,7.701623
17.98248,0.5050245
6.911621,5.659882
26.26127,17.67225
27.08735,11.6841
0.03607318,9.653182
24.55501,10.7967
18.70394,11.75264
10.90492,7.005411
